Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1200327,2300,201.36000000000001,202.40000000000001,202.88,193.63999999999999,201.36000000000001,202.40000000000001,202.88,193.63999999999999,58.77,5857221.00,20.40,16.54,36.93,40.12
1200330,2300,201.52000000000001,194.52000000000001,207.59999999999999,194.31999999999999,201.52000000000001,194.52000000000001,207.59999999999999,194.31999999999999,56.79,7995087.00,13.28,16.78,31.91,35.63
1200331,2300,196.0,185.0,197.03999999999999,181.68000000000001,196.0,185.0,197.03999999999999,181.68000000000001,54.41,7879407.00,15.36,17.06,28.82,32.55
1200401,2300,197.68000000000001,200.88,203.56,188.24000000000001,197.68000000000001,200.88,203.56,188.24000000000001,57.60,4763685.00,18.56,17.40,24.55,28.43
1200402,2300,198.08000000000001,189.44,201.59999999999999,188.81999999999999,198.08000000000001,189.44,201.59999999999999,188.81999999999999,54.64,5383756.00,12.78,17.63,21.46,24.94
1200403,2300,188.0,181.80000000000001,191.40000000000001,180.0,188.0,181.80000000000001,191.40000000000001,180.0,52.68,6681551.00,11.40,17.81,20.78,22.27
1200406,2300,168.84,168.84,172.28,166.08000000000001,168.84,168.84,172.28,166.08000000000001,49.46,4954439.00,15.72,18.02,14.00,18.75
1200407,2300,163.63999999999999,173.63999999999999,174.63999999999999,163.12,163.63999999999999,173.63999999999999,174.63999999999999,163.12,50.66,7011673.00,11.52,18.13,10.83,15.20
1200408,2300,171.80000000000001,169.59999999999999,174.88,167.68000000000001,171.80000000000001,169.59999999999999,174.88,167.68000000000001,49.59,5220671.00,7.20,18.20,9.49,11.44
1200409,2300,168.88,166.28,171.56,165.5,168.88,166.28,171.56,165.5,48.68,5851850.00,6.06,18.27,11.03,10.45
1200413,2300,165.59999999999999,162.84,169.72,162.47999999999999,165.59999999999999,162.84,169.72,162.47999999999999,47.70,3706563.00,7.24,18.32,10.98,10.50
1200414,2300,153.59999999999999,149.63999999999999,154.47999999999999,148.0,153.59999999999999,149.63999999999999,154.47999999999999,148.0,44.04,4494624.00,14.84,18.45,7.63,9.88
1200415,2300,159.84,161.63999999999999,165.72,157.30000000000001,159.84,161.63999999999999,165.72,157.30000000000001,47.95,5211570.00,16.08,18.69,11.50,10.04
1200416,2300,163.12,162.96000000000001,167.72,161.31999999999999,163.12,162.96000000000001,167.72,161.31999999999999,48.38,4666356.00,6.40,18.74,16.63,11.92
1200417,2300,156.24000000000001,156.19999999999999,161.68000000000001,155.24000000000001,156.24000000000001,156.19999999999999,161.68000000000001,155.24000000000001,46.28,4491665.00,7.72,18.85,20.58,16.24
1200420,2300,164.47999999999999,171.36000000000001,172.0,160.52000000000001,164.47999999999999,171.36000000000001,172.0,160.52000000000001,51.37,4824264.00,15.80,19.13,26.62,21.28
1200421,2300,184.16,185.68000000000001,192.59999999999999,182.88,184.16,185.68000000000001,192.59999999999999,182.88,55.64,6533289.00,21.24,19.51,40.56,29.25
1200422,2300,178.88,176.75999999999999,182.31999999999999,174.84,178.88,176.75999999999999,182.31999999999999,174.84,52.54,4031346.00,10.84,19.69,54.52,40.56
1200423,2300,174.28,176.24000000000001,179.52000000000001,170.80000000000001,174.28,176.24000000000001,179.52000000000001,170.80000000000001,52.36,4641321.00,8.72,19.83,61.58,52.22
1200424,2300,172.68000000000001,166.08000000000001,175.19999999999999,165.84,172.68000000000001,166.08000000000001,175.19999999999999,165.84,48.79,3694449.00,10.40,19.98,52.58,56.22
1200427,2300,161.84,153.84,161.88,151.63999999999999,161.84,153.84,161.88,151.63999999999999,44.82,5774527.00,14.44,20.23,38.98,51.05
1200428,2300,148.59999999999999,156.28,158.27000000000001,147.84,148.59999999999999,156.28,158.27000000000001,147.84,45.76,5672305.00,10.43,20.41,24.16,38.57
1200429,2300,147.44,146.81999999999999,148.03999999999999,143.40000000000001,147.44,146.81999999999999,148.03999999999999,143.40000000000001,42.70,5051539.00,12.88,20.62,12.77,25.30
1200430,2300,149.96000000000001,151.47999999999999,156.88,149.75999999999999,149.96000000000001,151.47999999999999,156.88,149.75999999999999,44.67,4266221.00,10.06,20.80,13.93,16.95
1200501,2300,164.40000000000001,164.75999999999999,168.28,161.24000000000001,164.40000000000001,164.75999999999999,168.28,161.24000000000001,49.93,5164340.00,16.80,21.06,22.26,16.32
1200504,2300,170.31999999999999,161.03999999999999,172.0,160.72,170.31999999999999,161.03999999999999,172.0,160.72,48.54,3378125.00,11.28,21.18,31.90,22.70
1200505,2300,155.12,154.68000000000001,155.80000000000001,150.24000000000001,155.12,154.68000000000001,155.80000000000001,150.24000000000001,46.17,4456214.00,10.80,21.17,34.07,29.41
